1	248956422	sps1
2	242193529	sps1
3	198295559	sps1
4	190214555	sps1
5	181538259	sps1
6	170805979	sps1
7	159345973	sps1
8	145138636	sps1
9	138394717	sps1
10	133797422	sps1
11	135086622	sps1
12	133275309	sps1
13	114364328	sps1
14	107043718	sps1
15	101991189	sps1
16	90338345	sps1
17	83257441	sps1
18	80373285	sps1
19	58617616	sps1
20	64444167	sps1
21	46709983	sps1
22	50818468	sps1
X	156040895	sps1
Y	57227415	sps1
1	" 220,829,949 "	sps2
2	" 194,590,626 "	sps2
3	" 186,593,194 "	sps2
4	" 174,811,213 "	sps2
5	" 167,590,190 "	sps2
6	" 153,411,954 "	sps2
7	" 141,180,797 "	sps2
8	" 129,586,403 "	sps2
9	" 129,149,534 "	sps2
10	" 128,814,721 "	sps2
11	" 127,899,456 "	sps2
12	" 111,075,373 "	sps2
13	" 107,909,299 "	sps2
14	" 95,197,326 "	sps2
15	" 88,282,628 "	sps2
16	" 78,953,107 "	sps2
17	" 75,751,991 "	sps2
18	" 74,906,297 "	sps2
19	" 74,498,276 "	sps2
20	" 59,617,313 "	sps2
21	" 54,046,283 "	sps2
22	" 33,654,069 "	sps2
23	" 33,380,987 "	sps2
X	" 150,179,692 "	sps2
1	" 327,680,592 "	sps3
2	" 228,187,830 "	sps3
3	" 219,433,329 "	sps3
4	" 174,433,132 "	sps3
5	" 167,471,642 "	sps3
6	" 128,923,770 "	sps3
7	" 127,942,400 "	sps3
8	" 127,899,356 "	sps3
9	" 124,774,779 "	sps3
10	" 123,868,388 "	sps3
11	" 110,207,010 "	sps3
12	" 106,169,555 "	sps3
13	" 95,067,678 "	sps3
14	" 88,282,628 "	sps3
15	" 77,520,841 "	sps3
16	" 75,330,377 "	sps3
17	" 74,251,337 "	sps3
18	" 73,748,586 "	sps3
19	" 59,251,557 "	sps3
20	" 37,948,648 "	sps3
21	" 29,478,790 "	sps3
22	" 23,648,533 "	sps3
23	" 19,061,985 "	sps3
X	" 150,029,004 "	sps3
1	" 327,167,956 "	sps4
2	" 227,607,576 "	sps4
3	" 216,112,713 "	sps4
4	" 177,135,534 "	sps4
5	" 166,658,623 "	sps4
6	" 128,047,920 "	sps4
7	" 127,862,323 "	sps4
8	" 127,628,143 "	sps4
9	" 124,323,394 "	sps4
10	" 123,392,535 "	sps4
11	" 109,652,843 "	sps4
12	" 106,038,263 "	sps4
13	" 94,903,014 "	sps4
14	" 88,173,700 "	sps4
15	" 77,182,888 "	sps4
16	" 74,251,340 "	sps4
17	" 73,241,096 "	sps4
18	" 72,285,341 "	sps4
19	" 59,251,557 "	sps4
20	" 52,337,002 "	sps4
21	" 37,882,228 "	sps4
22	" 18,915,631 "	sps4
X	" 149,131,321 "	sps4
